Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Stability,LIME_Stability,Average_Stability,Reliability_Score,Reliability_Level
Logistic Regression,55,531,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9776785714285715,1.0,0.9888392857142858,0.9825148809523809,High
Logistic Regression,56,712,0.6190476190476191,0.8095238095238095,1.0,0.9047619047619048,0.988988095238095,1.0,0.9944940476190476,0.9496279761904762,High
Logistic Regression,57,532,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9961309523809525,1.0,0.9980654761904763,0.8948660714285714,High
Logistic Regression,58,355,0.7142857142857144,0.8571428571428572,0.6666666666666666,0.7619047619047619,0.9958333333333333,1.0,0.9979166666666667,0.8799107142857143,High
Logistic Regression,59,713,0.8333333333333335,0.9166666666666667,1.0,0.9583333333333334,0.9949404761904763,1.0,0.9974702380952382,0.9779017857142858,High
Logistic Regression,60,440,0.6190476190476191,0.8095238095238095,0.6666666666666666,0.7380952380952381,0.9913690476190476,1.0,0.9956845238095238,0.866889880952381,High
Logistic Regression,61,311,0.8095238095238096,0.9047619047619049,1.0,0.9523809523809524,0.9782738095238095,1.0,0.9891369047619047,0.9707589285714286,High
Logistic Regression,62,494,0.7142857142857144,0.8571428571428572,0.6666666666666666,0.7619047619047619,0.9964285714285716,1.0,0.9982142857142857,0.8800595238095238,High
Logistic Regression,63,235,0.4523809523809524,0.7261904761904762,0.6666666666666666,0.6964285714285714,0.9767857142857143,1.0,0.9883928571428571,0.8424107142857142,High
Logistic Regression,64,650,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9892857142857144,1.0,0.9946428571428572,0.9943452380952381,High
Logistic Regression,65,724,0.4047619047619048,0.7023809523809524,0.3333333333333333,0.5178571428571429,0.9068452380952381,1.0,0.953422619047619,0.735639880952381,Moderate
Logistic Regression,66,332,0.8095238095238096,0.9047619047619049,0.6666666666666666,0.7857142857142858,0.9988095238095239,1.0,0.9994047619047619,0.8925595238095239,High
Logistic Regression,67,418,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9958333333333333,1.0,0.9979166666666667,0.984077380952381,High
Logistic Regression,68,410,0.9285714285714287,0.9642857142857144,0.6666666666666666,0.8154761904761905,0.926488095238095,1.0,0.9632440476190476,0.889360119047619,High
Logistic Regression,69,743,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9154761904761907,1.0,0.9577380952380954,0.8627976190476191,High
Logistic Regression,70,419,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.969345238095238,1.0,0.9846726190476189,0.8881696428571428,High
Logistic Regression,71,527,0.5714285714285715,0.7857142857142858,0.3333333333333333,0.5595238095238095,0.9669642857142856,1.0,0.9834821428571427,0.7715029761904761,Moderate
Logistic Regression,72,351,0.38095238095238104,0.6904761904761905,0.3333333333333333,0.5119047619047619,0.9547619047619049,1.0,0.9773809523809525,0.7446428571428572,Moderate
Logistic Regression,73,618,0.5952380952380953,0.7976190476190477,0.3333333333333333,0.5654761904761905,0.9604166666666669,1.0,0.9802083333333335,0.7728422619047619,Moderate
Logistic Regression,74,407,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9913690476190478,1.0,0.9956845238095239,0.9829613095238096,High
Logistic Regression,75,243,0.38095238095238104,0.6904761904761905,0.6666666666666666,0.6785714285714286,0.9773809523809526,1.0,0.9886904761904762,0.8336309523809524,High
Logistic Regression,76,190,0.6428571428571429,0.8214285714285714,0.3333333333333333,0.5773809523809523,0.9473214285714286,1.0,0.9736607142857143,0.7755208333333333,Moderate
Logistic Regression,77,187,0.4285714285714286,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.9395833333333332,1.0,0.9697916666666666,0.8301339285714285,High
Logistic Regression,78,496,0.8571428571428572,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.8770833333333332,1.0,0.9385416666666666,0.8680803571428571,High
Logistic Regression,79,441,0.6904761904761906,0.8452380952380953,0.6666666666666666,0.7559523809523809,0.9830357142857145,1.0,0.9915178571428572,0.873735119047619,High
Logistic Regression,80,430,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9946428571428573,1.0,0.9973214285714287,0.8825892857142857,High
Logistic Regression,81,698,0.5714285714285715,0.7857142857142858,0.6666666666666666,0.7261904761904763,0.9333333333333333,1.0,0.9666666666666667,0.8464285714285715,High
Logistic Regression,82,513,0.8571428571428572,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.9690476190476192,1.0,0.9845238095238096,0.8910714285714286,High
Logistic Regression,83,304,0.9523809523809524,0.9761904761904763,0.6666666666666666,0.8214285714285714,0.9815476190476191,1.0,0.9907738095238096,0.9061011904761904,High
Logistic Regression,84,82,0.880952380952381,0.9404761904761905,0.6666666666666666,0.8035714285714286,0.9687500000000002,1.0,0.9843750000000001,0.8939732142857144,High
Logistic Regression,85,563,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.9922619047619048,1.0,0.9961309523809524,0.9950892857142857,High
Logistic Regression,86,722,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9520833333333334,1.0,0.9760416666666667,0.973139880952381,High
Logistic Regression,87,199,0.4047619047619048,0.7023809523809524,0.3333333333333333,0.5178571428571429,0.9815476190476191,1.0,0.9907738095238096,0.7543154761904762,Moderate
Logistic Regression,88,112,0.7142857142857144,0.8571428571428572,0.6666666666666666,0.7619047619047619,0.9395833333333334,1.0,0.9697916666666667,0.8658482142857142,High
Logistic Regression,89,162,0.4761904761904762,0.7380952380952381,0.6666666666666666,0.7023809523809523,0.9473214285714289,1.0,0.9736607142857144,0.8380208333333334,High
Logistic Regression,90,24,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9470238095238095,1.0,0.9735119047619047,0.9748511904761905,High
Logistic Regression,91,215,0.8571428571428572,0.9285714285714286,1.0,0.9642857142857143,0.993154761904762,1.0,0.996577380952381,0.9804315476190477,High
Logistic Regression,92,42,0.8571428571428572,0.9285714285714286,0.6666666666666666,0.7976190476190477,0.9053571428571431,1.0,0.9526785714285715,0.8751488095238096,High
Logistic Regression,93,366,0.7857142857142858,0.8928571428571429,1.0,0.9464285714285714,0.9586309523809522,1.0,0.9793154761904761,0.9628720238095237,High
Logistic Regression,94,402,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9514880952380954,1.0,0.9757440476190478,0.8718005952380953,High
Logistic Regression,95,88,0.8333333333333335,0.9166666666666667,1.0,0.9583333333333334,0.9907738095238094,1.0,0.9953869047619047,0.976860119047619,High
Logistic Regression,96,486,0.8095238095238096,0.9047619047619049,1.0,0.9523809523809524,0.9869047619047618,1.0,0.993452380952381,0.9729166666666667,High
Logistic Regression,97,436,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9883928571428575,1.0,0.9941964285714288,0.9851934523809525,High
Logistic Regression,98,399,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9214285714285714,1.0,0.9607142857142856,0.8761904761904762,High
Logistic Regression,99,488,0.6428571428571429,0.8214285714285714,0.6666666666666666,0.7440476190476191,0.9372023809523811,1.0,0.9686011904761905,0.8563244047619047,High
Logistic Regression,100,615,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9214285714285715,1.0,0.9607142857142857,0.8761904761904762,High
Logistic Regression,101,481,0.7857142857142858,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8547619047619047,1.0,0.9273809523809524,0.8535714285714286,High
Logistic Regression,102,139,0.7857142857142858,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.9901785714285716,1.0,0.9950892857142858,0.8874255952380953,High
Logistic Regression,103,570,0.523809523809524,0.761904761904762,0.3333333333333333,0.5476190476190477,0.9116071428571428,1.0,0.9558035714285714,0.7517113095238095,Moderate
Logistic Regression,104,300,0.3333333333333334,0.6666666666666667,0.6666666666666666,0.6666666666666667,0.9767857142857144,1.0,0.9883928571428572,0.8275297619047619,High
Logistic Regression,105,736,0.8333333333333335,0.9166666666666667,1.0,0.9583333333333334,0.8851190476190476,1.0,0.9425595238095238,0.9504464285714286,High
Logistic Regression,106,445,0.7380952380952381,0.8690476190476191,0.6666666666666666,0.7678571428571428,0.9994047619047619,0.9973214285714288,0.9983630952380953,0.883110119047619,High
Logistic Regression,107,447,0.880952380952381,0.9404761904761905,1.0,0.9702380952380952,0.9910714285714286,1.0,0.9955357142857143,0.9828869047619048,High
Logistic Regression,108,489,0.8333333333333335,0.9166666666666667,0.6666666666666666,0.7916666666666667,0.9723214285714287,1.0,0.9861607142857143,0.8889136904761905,High
Logistic Regression,109,330,0.4285714285714286,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.982142857142857,1.0,0.9910714285714285,0.8407738095238095,High
Logistic Regression,110,144,0.3571428571428572,0.6785714285714286,0.3333333333333333,0.5059523809523809,0.9711309523809524,1.0,0.9855654761904762,0.7457589285714286,Moderate
Logistic Regression,111,185,0.9285714285714287,0.9642857142857144,1.0,0.9821428571428572,0.9226190476190477,1.0,0.9613095238095238,0.9717261904761905,High
Logistic Regression,112,584,0.28571428571428575,0.6428571428571429,0.3333333333333333,0.48809523809523814,0.893452380952381,1.0,0.9467261904761906,0.7174107142857143,Moderate
Logistic Regression,113,164,0.4047619047619048,0.7023809523809524,0.6666666666666666,0.6845238095238095,0.975,1.0,0.9875,0.8360119047619048,High
Logistic Regression,114,309,0.7142857142857144,0.8571428571428572,0.6666666666666666,0.7619047619047619,0.9625,1.0,0.98125,0.8715773809523809,High
Logistic Regression,115,127,0.28571428571428575,0.6428571428571429,0.3333333333333333,0.48809523809523814,0.8964285714285714,1.0,0.9482142857142857,0.7181547619047619,Moderate
Logistic Regression,116,763,0.5714285714285715,0.7857142857142858,0.6666666666666666,0.7261904761904763,0.9729166666666668,1.0,0.9864583333333334,0.8563244047619049,High
Logistic Regression,117,310,0.9047619047619048,0.9523809523809523,1.0,0.9761904761904762,0.9886904761904762,1.0,0.9943452380952381,0.9852678571428571,High
Logistic Regression,118,740,0.6190476190476191,0.8095238095238095,0.6666666666666666,0.7380952380952381,0.9267857142857142,1.0,0.9633928571428572,0.8507440476190476,High
Logistic Regression,119,347,0.07142857142857144,0.5357142857142857,0.3333333333333333,0.43452380952380953,0.9247023809523809,1.0,0.9623511904761904,0.6984375,Moderate
Logistic Regression,120,247,0.6666666666666669,0.8333333333333335,1.0,0.9166666666666667,0.9800595238095238,0.9997023809523811,0.9898809523809524,0.9532738095238096,High
Logistic Regression,121,6,0.5952380952380953,0.7976190476190477,0.3333333333333333,0.5654761904761905,0.8458333333333334,1.0,0.9229166666666667,0.7441964285714286,Moderate
Logistic Regression,122,674,0.8095238095238096,0.9047619047619049,0.6666666666666666,0.7857142857142858,0.9961309523809525,1.0,0.9980654761904763,0.891889880952381,High
Logistic Regression,123,258,0.9761904761904763,0.9880952380952381,1.0,0.9940476190476191,0.974702380952381,1.0,0.9873511904761905,0.9906994047619048,High
Logistic Regression,124,198,0.4523809523809524,0.7261904761904762,0.6666666666666666,0.6964285714285714,0.9428571428571428,1.0,0.9714285714285714,0.8339285714285714,High
Logistic Regression,125,238,0.7619047619047621,0.880952380952381,0.6666666666666666,0.7738095238095238,0.9937500000000001,1.0,0.9968750000000001,0.885342261904762,High
