Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_P_Value,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Top_Features,LIME_Top_Features,Agreement_Level
Logistic Regression,88,112,0.7142857142857144,0.04652823228416724,0.8571428571428572,0.6666666666666666,0.7619047619047619,"Glucose, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,89,162,0.4761904761904762,0.23293553465009798,0.7380952380952381,0.6666666666666666,0.7023809523809523,"BMI, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,90,24,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"Glucose, Pregnancies, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,91,215,0.8571428571428572,0.006530017254715292,0.9285714285714286,1.0,0.9642857142857143,"Glucose, Pregnancies, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,92,42,0.8571428571428572,0.006530017254715292,0.9285714285714286,0.6666666666666666,0.7976190476190477,"BMI, Glucose, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,93,366,0.7857142857142858,0.020815127253525276,0.8928571428571429,1.0,0.9464285714285714,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,94,402,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,95,88,0.8333333333333335,0.01017554012345675,0.9166666666666667,1.0,0.9583333333333334,"Pregnancies, Glucose, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,96,486,0.8095238095238096,0.014902667686230067,0.9047619047619049,1.0,0.9523809523809524,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,97,436,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"Pregnancies, Glucose, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,98,399,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"Glucose, BMI, Age","Glucose, BMI, Pregnancies",Moderate
